时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,0,1,1,0.00,64,61,60,-0.3,-143,0.02,0,0,3,0,471,0,-19.156282,100,0.0,0,100,3,3,0.39,0,-7,0,6,90.0,1.0,
0.10,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.22,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.31,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.45,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.55,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.68,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.78,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
0.90,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.03,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.13,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.27,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.37,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.50,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.60,0,0,0,0.00,64,61,58,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.73,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.83,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
1.95,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
2.08,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
2.18,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
2.28,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
2.42,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.8,
2.52,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.7,
2.65,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.7,
2.75,0,0,0,0.00,64,61,57,-0.0,0,0.98,0,9,0,0,477,77,0.0,100,17.0,0,100,3,3,0.39,0,0,0,0,3.7,69.7,
2.85,3,0,0,0.00,64,61,57,-0.0,0,0.98,0,89,0,0,485,78,0.0,100,17.0,0,100,3,3,0.42,0,0,0,0,3.7,69.7,
2.98,18,0,0,0.00,64,62,57,0.0,0,0.07,0,179,0,0,543,97,0.0,100,17.0,0,100,3,3,0.55,0,0,0,0,0.9,13.8,
3.08,26,0,0,0.00,64,62,57,0.0,0,0.11,0,198,0,0,581,111,0.0,100,17.0,0,100,3,3,0.63,0,0,0,0,90.0,7.5,
3.18,36,0,0,0.00,64,62,57,0.0,0,0.59,0,225,0,0,629,131,0.0,100,17.0,0,100,3,3,0.73,0,0,0,0,90.0,21.9,
3.32,51,0,0,0.00,64,62,57,-0.0,0,0.6,0,251,0,0,696,160,0.0,100,17.0,0,100,3,3,0.88,0,0,0,0,38.0,55.4,
3.41,60,0,0,0.00,64,62,57,-0.0,0,0.88,0,267,0,0,735,179,0.0,100,17.0,0,100,3,3,0.96,0,0,0,0,26.4,65.4,
3.55,76,0,0,0.00,64,62,57,0.0,0,0.95,0,284,0,0,800,213,0.0,100,17.0,0,100,3,3,1.14,0,0,0,0,25.5,52.5,
3.65,90,0,0,0.00,64,63,57,0.0,0,0.62,0,294,0,0,844,237,0.0,100,17.0,0,100,3,3,1.29,0,0,0,0,34.3,25.7,
3.78,107,0,0,0.00,64,63,57,-0.0,0,0.95,0,335,0,0,897,268,0.0,100,17.0,0,100,3,3,1.42,0,0,0,0,20.6,65.9,
3.88,110,0,0,0.00,64,63,57,-0.0,0,0.95,0,375,0,0,944,297,0.0,100,17.0,0,100,3,3,1.46,0,0,0,0,4.2,90.0,
4.02,110,0,0,0.00,64,64,57,0.0,0,0.98,0,427,0,0,1004,336,0.0,100,17.0,0,100,3,3,1.50,0,0,0,0,8.2,53.0,
4.11,110,0,0,0.00,64,64,57,0.0,0,0.98,0,477,0,0,1057,372,0.0,100,17.0,0,100,3,3,1.54,0,0,0,0,11.2,27.3,
4.25,110,0,0,0.00,64,64,57,0.0,0,0.98,0,547,0,0,1124,421,0.0,100,17.0,0,100,3,3,1.59,0,0,0,0,9.3,9.8,
4.36,110,0,0,0.00,64,65,57,0.0,0,0.98,0,629,0,0,1196,476,0.0,100,17.0,0,100,3,3,1.65,0,0,0,0,9.7,2.8,
4.47,110,0,0,0.00,64,65,57,-0.0,0,0.97,0,707,0,0,1259,527,0.0,100,17.0,0,100,3,3,1.70,0,0,0,0,9.4,0.6,
4.60,110,1,1,0.00,64,65,57,-0.0,0,0.98,0,814,0,0,1339,596,0.5027934,100,17.0,0,100,3,3,1.78,0,-1,8,-6,11.4,0.6,
4.70,110,1,1,0.00,64,66,57,0.0,0,0.98,0,913,0,0,1410,660,0.557177,100,17.0,0,100,3,3,1.85,0,-7,0,-10,11.0,1.2,
4.83,110,1,1,0.00,64,66,57,0.0,0,0.99,0,1049,0,0,1500,746,0.7742858,100,17.0,0,100,3,3,1.94,0,11,-1,-9,11.7,1.0,
4.93,110,2,2,0.00,64,67,57,-0.0,0,0.96,0,1170,0,0,1579,826,0.81270176,100,17.0,0,100,3,3,2.02,0,8,-2,-7,10.8,0.9,
5.03,110,2,2,0.00,64,67,58,0.0,0,0.99,0,1300,1,13,1661,914,1.0701978,100,17.0,0,100,3,3,2.09,0,9,-2,-7,11.7,0.8,
5.15,110,3,3,0.00,64,68,58,0.0,0,1.0,0,1399,1,13,1757,1022,1.2269218,100,17.0,0,100,2,3,1.89,0,4,-1,-7,11.7,0.7,
5.25,110,3,3,0.00,64,68,58,0.0,0,1.0,0,1520,1,15,1823,1100,1.2402607,100,17.0,0,100,2,3,1.96,0,10,0,-7,11.7,0.6,
5.38,110,4,4,0.00,64,69,58,-0.0,0,0.96,0,1735,1,17,1944,1249,1.9375424,100,17.0,0,100,2,3,2.08,0,-2,-1,-7,11.2,0.6,
5.48,110,4,4,0.00,64,70,58,0.0,0,0.99,0,1871,1,18,2031,1363,1.3028611,100,17.0,0,100,2,3,2.14,0,13,-1,-8,11.7,0.6,
5.61,110,5,5,0.00,64,70,58,0.0,0,1.0,0,2015,1,20,2135,1505,2.4758747,100,17.0,0,100,2,3,2.19,0,-1,-1,-7,11.7,0.6,
5.72,110,6,6,0.01,64,71,58,-0.0,0,0.96,0,2111,2,42,2219,1624,2.155974,100,17.0,0,100,2,3,2.22,0,-1,-1,-8,11.4,0.6,
5.83,110,7,7,0.01,64,72,58,0.0,0,1.0,0,2186,2,43,2299,1741,2.2385712,100,17.0,0,100,2,3,2.24,0,-5,-1,-8,11.7,0.6,
5.97,110,11,11,0.01,64,73,59,0.0,2,0.97,0,2256,3,67,2402,1888,9.294999,100,17.0,0,100,2,3,2.25,0,0,0,-8,11.2,0.5,
6.07,110,14,14,0.01,64,73,59,0.0,2,0.98,0,2284,5,114,2468,1983,5.8251705,100,17.0,0,100,2,3,2.25,0,-7,0,-6,11.4,0.5,
6.20,110,18,18,0.01,64,74,59,0.0,4,0.98,0,2298,6,137,2540,2087,9.812404,100,17.0,0,100,2,3,2.24,0,-2,0,-5,11.5,0.5,
6.30,110,21,21,0.02,64,75,59,0.0,4,0.98,0,2296,7,160,2594,2163,7.481274,100,17.0,0,100,2,3,2.22,0,-4,1,-6,11.6,0.5,
6.43,110,25,25,0.02,64,76,59,-0.0,6,0.98,0,2283,9,205,2650,2242,8.74642,100,17.0,0,100,2,3,2.20,0,2,1,-6,11.7,0.4,
6.53,110,28,28,0.02,64,76,59,-0.0,6,0.98,0,2266,10,226,2690,2297,7.783784,100,17.0,0,100,2,3,2.18,0,1,0,-6,11.7,0.4,
6.63,110,32,32,0.03,64,77,60,-0.0,7,0.98,0,2092,13,271,2716,2329,8.7884445,100,17.0,0,100,1,3,1.78,0,0,0,-6,11.7,0.4,
6.73,110,35,35,0.03,64,78,60,0.0,6,0.98,0,2119,14,296,2742,2356,7.0689263,100,17.0,0,100,1,3,1.80,0,-2,0,-6,11.7,0.4,
6.86,110,39,39,0.03,64,78,60,0.0,11,0.98,0,2147,16,343,2771,2396,10.638915,100,17.2,0,100,1,3,1.83,0,-42,0,-7,11.7,0.4,
6.97,110,42,42,0.03,64,79,60,0.0,9,0.98,0,2166,18,389,2789,2554,8.1053705,100,18.2,0,100,1,3,1.85,0,-35,0,-7,11.7,0.4,
7.07,110,46,46,0.04,64,80,60,0.0,9,0.98,0,2172,21,456,2795,2742,7.419586,100,19.8,0,100,1,3,1.86,0,-15,0,-8,11.7,0.4,
7.20,110,50,50,0.04,64,80,60,0.0,15,0.98,0,2163,24,519,2784,2892,11.512293,100,21.5,0,100,1,3,1.85,0,-55,0,-8,11.8,0.4,
7.30,110,54,54,0.04,64,81,60,0.0,12,0.97,0,2147,26,558,2767,2890,8.678202,100,21.7,0,100,1,3,1.83,0,-38,0,-8,11.8,0.4,
7.43,110,58,58,0.05,64,82,61,0.0,15,0.97,0,2130,28,596,2750,2794,9.84796,100,21.1,0,100,1,3,1.82,0,-38,0,-8,11.9,0.4,
7.53,110,61,62,0.05,64,82,61,0.0,14,0.97,0,2123,29,615,2743,2703,8.535882,100,20.5,0,100,1,3,1.81,0,-49,0,-8,11.9,0.4,
7.67,110,66,66,0.05,64,83,61,0.0,17,0.98,0,2120,30,636,2740,2648,9.42796,100,20.3,0,100,1,3,1.81,0,-59,0,-7,11.9,0.4,
7.76,110,69,69,0.06,64,84,61,0.0,16,0.98,0,2118,32,677,2738,2647,8.300274,100,20.4,0,100,1,3,1.80,0,-60,0,-7,11.9,0.4,
7.90,110,74,74,0.06,64,84,61,0.0,19,0.99,0,2113,34,718,2732,2651,9.4563465,100,20.7,0,100,1,3,1.80,0,-69,0,-7,11.8,0.4,
8.00,110,77,77,0.06,64,85,61,0.0,17,0.97,0,2109,35,738,2729,2638,8.054075,100,20.7,0,100,1,3,1.80,0,-73,0,-7,11.8,0.4,
8.12,110,81,81,0.07,64,86,61,0.0,24,0.97,0,2104,36,757,2724,2601,10.879404,100,20.7,0,100,1,3,1.79,0,-66,0,-8,11.9,0.4,
8.22,110,84,84,0.07,64,86,61,0.0,19,0.96,0,2102,37,777,2721,2561,8.109135,100,20.6,0,100,1,3,1.79,0,-64,0,-7,11.9,0.4,
8.35,110,88,88,0.07,64,87,61,-0.0,22,0.99,0,2100,39,819,2719,2529,9.122181,100,20.6,0,100,1,3,1.79,0,-75,0,-7,11.9,0.4,
8.45,110,91,92,0.07,64,87,61,0.0,21,0.97,0,2098,40,839,2717,2511,8.190267,100,20.7,0,100,1,3,1.79,0,-85,0,-7,11.9,0.4,
8.58,110,95,96,0.08,64,88,61,0.0,24,1.0,0,2097,41,859,2715,2492,9.113432,100,20.7,0,100,1,3,1.79,0,-88,0,-7,11.9,0.4,
8.68,110,99,99,0.08,64,89,61,0.0,21,0.98,0,2095,43,901,2713,2472,7.9004745,100,20.8,0,100,1,3,1.78,0,-88,0,-7,11.9,0.4,
8.78,110,102,102,0.08,64,89,61,0.0,25,1.0,0,2094,44,921,2712,2450,8.784631,100,20.8,0,100,1,3,1.78,0,-97,0,-8,11.9,0.4,
8.90,110,106,106,0.09,64,90,61,0.1,22,0.99,0,2093,45,942,2711,2424,7.5191345,100,20.8,0,100,1,3,1.78,0,-94,0,-7,11.7,0.4,
9.03,110,110,110,0.09,64,91,62,0.1,33,0.96,1,2092,46,962,2710,2400,10.9479685,100,20.9,0,100,1,3,1.78,0,-79,0,-8,11.3,0.4,
9.13,110,113,113,0.09,64,91,62,0.1,26,1.01,0,2092,47,983,2709,2382,8.223278,100,20.9,0,100,1,3,1.78,0,-72,0,-5,10.9,0.4,
9.27,110,117,117,0.10,19,92,62,0.1,30,0.96,0,2091,48,1004,2708,2360,9.15982,100,21.0,0,100,1,3,1.78,0,-61,0,-11,10.4,0.4,
9.36,110,120,120,0.10,19,92,62,0.1,27,0.95,0,2092,49,1025,2707,2342,8.0495,100,21.0,0,100,1,3,1.78,0,-56,-1,-20,10.1,0.5,
9.50,110,124,124,0.10,19,93,62,0.0,31,0.97,0,2091,50,1045,2707,2320,9.127045,100,21.1,0,100,1,3,1.78,0,-57,-2,-18,9.7,0.6,
9.60,110,127,127,0.10,19,94,62,0.1,28,1.03,0,2091,51,1066,2706,2302,7.9342413,100,21.2,0,100,1,3,1.78,0,-54,-1,-12,9.2,0.8,
9.73,110,131,132,0.11,19,94,62,0.1,34,0.96,0,2091,52,1087,2706,2278,9.324293,100,21.2,0,100,1,3,1.78,0,-41,0,1,8.5,1.0,
9.83,110,134,134,0.11,19,95,62,0.1,31,0.97,0,2092,53,1108,2706,2265,8.199331,100,21.3,0,100,1,3,1.78,0,-33,0,4,8.2,1.1,
9.93,110,137,137,0.11,19,95,62,0.1,34,0.99,0,2092,54,1129,2705,2248,8.963519,100,21.3,0,100,1,3,1.78,0,-21,0,-4,7.8,1.1,
10.03,110,140,141,0.11,20,96,62,0.0,35,0.92,1,2092,55,1150,2705,2232,8.871546,100,21.4,0,100,1,3,1.78,0,-8,0,-11,7.6,1.1,
10.16,110,144,144,0.12,20,97,62,0.0,35,0.98,0,2093,56,1172,2705,2213,8.781914,100,21.5,0,100,1,3,1.78,0,-12,0,-10,7.6,1.0,
10.27,110,147,147,0.12,20,97,62,0.0,31,1.04,1,2093,57,1193,2705,2197,7.6485353,100,21.5,0,100,1,3,1.78,0,-18,0,-9,7.5,1.0,
10.40,110,152,152,0.12,20,98,62,0.0,36,0.98,0,2093,58,1214,2705,2176,8.533131,100,21.6,0,100,1,3,1.78,0,-16,0,-10,7.5,1.0,
10.50,110,154,154,0.13,20,98,62,0.0,32,0.95,0,2093,58,1214,2704,2164,7.515958,100,21.7,0,100,1,3,1.78,0,-6,0,-10,7.5,1.0,
10.63,110,158,159,0.13,20,99,63,0.0,44,1.02,1,2094,59,1235,2704,2143,10.022542,100,21.8,0,100,1,3,1.78,0,-6,0,-10,7.5,1.0,
10.73,110,162,162,0.13,20,99,63,0.0,28,0.98,0,2095,60,1257,2704,2132,6.122211,100,21.8,0,100,1,3,1.78,0,0,0,-9,7.4,1.0,
10.83,110,164,164,0.13,20,100,63,0.0,38,0.96,0,2095,61,1278,2704,2122,8.250367,100,21.9,0,100,1,3,1.78,0,10,0,-9,7.5,1.0,
